#Cluster E(B - V)        rmax    g       i       (g - i)0        MV      (V - I)0        rh      Quality Notes
#name            (arcsec)                                                (pc)    Flag    
H8      0.062   11.1    19.33   18.18   0.87    -5.71   1.03    11.8    B       f
H10     0.065   23.7    16.25   14.88   0.77    -8.86   0.95    5.8     A       -
H11     0.071   11.8    17.10   16.23   0.75    -7.88   0.93    4.1     A       -
H12     0.066   13.3    16.75   15.95   0.68    -8.19   0.88    4.0     A       -
H15     0.057   11.8    18.46   17.20   0.62    -6.60   0.83    10.3    A       c
H17     0.052   9.6     17.85   16.47   0.79    -7.23   0.96    3.3     A       -
H18     0.087   14.8    16.92   16.08   0.70    -8.09   0.90    4.1     A       -
H19     0.059   7.4     17.66   16.77   0.74    -7.29   0.92    4.9     A       -
H22     0.050   11.1    17.26   16.43   0.74    -7.65   0.93    4.2     B       g
H23     0.051   8.9     17.00   15.55   0.85    -8.09   1.01    3.6     B       b,r
H24     0.098   14.8    17.97   17.04   0.75    -7.10   0.94    8.9     A       -
H25     0.094   14.8    17.12   16.21   0.76    -7.93   0.94    5.8     A       -
H26     0.053   14.8    17.66   16.34   0.70    -7.40   0.90    5.6     A       -
H27     0.055   14.8    16.66   15.39   0.66    -8.39   0.86    4.9     A       -
HEC1    0.060   12.6    19.06   18.39   0.65    -5.82   0.86    15.7    A       -
HEC2    0.055   12.2    19.51   18.03   0.78    -5.60   0.96    12.4    B       c,e,r
HEC3    0.070   15.5    19.63   18.71   0.83    -5.36   1.00    17.6    A       c
HEC6    0.073   18.5    19.09   18.12   0.75    -5.92   0.94    26.7    A       c
HEC7    0.087   16.7    18.48   17.53   0.82    -6.57   0.99    19.5    A       c
HEC10   0.106   20.4    18.97   17.98   0.79    -6.14   0.97    22.5    A       c
HEC11   0.048   8.9     18.41   17.03   0.70    -6.65   0.90    14.6    B       c,g,r
HEC12   0.049   20.4    18.93   17.48   0.82    -6.16   0.99    29.9    A       c
HEC13   0.048   13.7    19.48   18.27   0.64    -5.54   0.85    20.7    B       c,e,r
B270D   0.087   6.7     17.77   16.86   0.76    -7.26   0.94    6.6     B       f,r
SK213C  0.121   3.3     19.43   18.43   0.81    -5.72   0.98    4.4     B       f,r
SK255B  0.070   8.1     18.01   17.00   0.89    -7.01   1.04    5.6     B       b,f,r
SH06    0.168   8.1     16.43   16.55   -0.49   -8.45   0.00    9.9     A       -
SDSS1   0.068   8.1     18.33   17.22   0.95    -6.71   1.10    12.0    B       m
SDSS3   0.066   6.7     19.06   17.95   1.03    -5.98   1.16    7.2     A       -
SDSS6   0.079   -       -       -       -       -       -       -       D       e,x
